Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
hiphop;newmusic;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/57vcl2aTJP;0.0;0;1;Urban Dubz Music PR;UK;en;13848;13690
rap;newmusic;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/57vcl2aTJP;0.0;0;1;Urban Dubz Music PR;UK;en;13848;13690
Metal;Rock;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
Metal;Sevensinsfestival;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
Metal;Holoson;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
Rock;Sevensinsfestival;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
Rock;Holoson;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
Sevensinsfestival;Holoson;Undirected;Third band to hit that stage @SevenSinsFestUK Showcase 2 ""Holoson"". #Metal #Rock #Sevensinsfestival #Holoson https://t.co/tIIULerWNp;0.0;0;0;Lee D Vocal;UK;en;791;1109
BrCup2017;rock;Undirected;Backstage @SCAEUK #BrCup2017 team @cliftoncoffee ready to #rock n' #roll @GlasCoffeeFest https://t.co/7nI5XpJc27;0.3612;0;3;Jimmy Dimitrov;Bristol, United Kingdom;en-gb;432;1170
BrCup2017;roll;Undirected;Backstage @SCAEUK #BrCup2017 team @cliftoncoffee ready to #rock n' #roll @GlasCoffeeFest https://t.co/7nI5XpJc27;0.3612;0;3;Jimmy Dimitrov;Bristol, United Kingdom;en-gb;432;1170
rock;roll;Undirected;Backstage @SCAEUK #BrCup2017 team @cliftoncoffee ready to #rock n' #roll @GlasCoffeeFest https://t.co/7nI5XpJc27;0.3612;0;3;Jimmy Dimitrov;Bristol, United Kingdom;en-gb;432;1170
cindykallet;folk;Undirected;Cindy Kallet - Working On Wings To Fly | £12.99 | #cindykallet #folk arrived in stock see: https://t.co/EvvD6DJe76 https://t.co/x7bXXNGKam;0.0;0;0;Vinyl Tap Latest;Huddersfield, UK;en;760;9
cindykallet;folk;Undirected;Cindy Kallet - Working On Wings To Fly | £12.99 | #cindykallet #folk arrived in stock see: https://t.co/EvvD6DJe76 https://t.co/YQFm3RDIy8;0.0;0;0;Vinyl Tap Latest;Huddersfield, UK;en;760;9
IrishCupFinal;Linfield;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
IrishCupFinal;Blues;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
IrishCupFinal;COYB;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
Linfield;Blues;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
Linfield;COYB;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
Blues;COYB;Undirected;Wishing @OfficialBlues 💙every success today in #IrishCupFinal 🏆 #Linfield #Blues #COYB 🔵⚪️🔴 https://t.co/d5dx5hLfvZ;0.6808;1;3;William RD Hall;;en;700;1801
JackinHouse;Disco;Undirected;Check You Girls from Serial Thrilla on @tastyrecordings at @beatport https://t.co/Ug2iqa0hqf Hot #JackinHouse #Disco inc Hype The Phunk Mix;0.0;0;0;Audio Jacker;Manchester;en;8963;8332
Manchester;music;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
Manchester;livemusic;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
Manchester;metal;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
music;livemusic;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
music;metal;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
livemusic;metal;Undirected;3.8.17. That is all. #Manchester #music #livemusic #metal;0.0;4;5;Liverwrist;Manchester, England;en-gb;339;144
